"filename", "language", "HTML", "XML", "JavaScript", "CSS", "Java", "comment", "blank", "total"
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\images\youtube.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\javascript\createNdisplayList.js", "JavaScript", 0, 0, 33, 0, 0, 2, 14, 49
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\javascript\effectListUser.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\javascript\loginJs.js", "JavaScript", 0, 0, 174, 0, 0, 40, 36, 250
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\javascript\servicesCrud.js", "JavaScript", 0, 0, 30, 0, 0, 6, 9, 45
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\javascript\typewritter.js", "JavaScript", 0, 0, 48, 0, 0, 1, 9, 58
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\views\customer_home.xhtml", "HTML", 126, 0, 0, 0, 0, 8, 23, 157
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\views\home.xhtml", "HTML", 234, 0, 0, 0, 0, 8, 49, 291
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\views\loginAndAccount\CustomerRegistration.xhtml", "HTML", 176, 0, 0, 0, 0, 6, 10, 192
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\views\loginAndAccount\OrganizerRegistration.xhtml", "HTML", 213, 0, 0, 0, 0, 7, 13, 233
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\views\loginAndAccount\ProfileUser.xhtml", "HTML", 770, 0, 0, 0, 0, 48, 71, 889
